Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal
Studio à louer - logement étudiant,11.0,690,"Auteuil Nord, Paris 16ème (75016)",0.0,1.0,6,75016
Appartement à louer,35.5,1041,"Secrétan, Paris 19ème (75019)",1.0,2.0,1,75019
Appartement à louer,23.0,890,"Muette Nord, Paris 16ème (75016)",0.0,1.0,1,75016
Appartement à louer,42.4,950,"Pont de Flandre, Paris 19ème (75019)",0.0,1.0,2,75019
Appartement à louer,19.5,807,"Père Lachaise-Réunion, Paris 20ème (75020)",0.0,1.0,1,75020
Appartement à louer,24.0,1190,"Emeriau-Zola, Paris 15ème (75015)",0.0,1.0,5,75015
Studio à louer,29.892952316202322,1195,"Père Lachaise-Réunion, Paris 20ème (75020)",9.0,12.0,7,75020
Studio à louer,28.0,930,"Pasteur Montparnasse, Paris 15ème (75015)",0.0,1.0,1,75015
Appartement à louer,13.0,620,"Trudaine-Maubeuge, Paris (75009)",0.0,1.0,5,75009
Appartement à louer,19.9,852,"Alleray Procession, Paris 15ème (75015)",0.0,1.0,1,75015
Appartement à louer,33.0,1200,"Bièvres Sud Tolbiac, Paris 13ème (75013)",0.0,1.0,3,75013
Appartement à louer - Première occupation,14.0,800,"Porte Dauphine, Paris 16ème (75016)",0.0,1.0,4,75016
Appartement à louer,31.0,950,"République-Saint Ambroise, Paris 11ème (75011)",1.0,2.0,2,75011
Appartement à louer,30.3,1025,"Nation-Alexandre Dumas, Paris 11ème (75011)",1.0,2.0,3,75011
Appartement à louer,18.0,680,"Epinettes-Bessières, Paris 17ème (75017)",0.0,1.0,2,75017
Appartement à louer,90.0,980,"Alleray Procession, Paris 15ème (75015)",4.0,4.0,3,75015
Appartement à louer,90.0,1060,"Alleray Procession, Paris 15ème (75015)",4.0,4.0,3,75015
Appartement à louer,29.0,1083,"Auteuil Nord, Paris 16ème (75016)",0.0,1.0,4,75016
Appartement à louer,29.0,1100,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1.0,2.0,1,75018
Appartement à louer,30.0,1200,"Danube-Porte des Lilas, Paris (75019)",0.0,1.0,3,75019
Appartement à louer,26.0,1034,"La Fourche-Guy Môquet, Paris 17ème (75017)",1.0,2.0,6,75017
Appartement à louer,28.0,1200,"Ternes-Maillot, Paris 17ème (75017)",0.0,1.0,2,75017
Appartement à louer,11.8,670,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",0.0,1.0,9,75018
Appartement à louer,37.3,1196,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1.0,2.0,6,75018
Appartement à louer,33.0,1100,"Bièvres Sud Tolbiac, Paris 13ème (75013)",0.0,1.0,1,75013
Appartement à louer,9.0,720,"Saint Thomas d'Aquin, Paris (75007)",0.0,1.0,1,75007
Appartement à louer,27.7,1100,"Montmartre, Paris 18ème (75018)",0.0,1.0,2,75018
Studio à louer,14.0,950,"Ternes-Maillot, Paris 17ème (75017)",0.0,1.0,2,75017
Appartement à louer,15.0,1200,"Saint Philippe du Roule, Paris (75008)",0.0,1.0,1,75008
Appartement à louer,18.2,1130,"Saint Lambert, Paris 15ème (75015)",0.0,1.0,6,75015
Appartement à louer,32.6,980,"Pont de Flandre, Paris 19ème (75019)",1.0,2.0,7,75019
Appartement à louer - Première occupation,32.6,1199,"Olympiades-Choisy, Paris 13ème (75013)",0.0,1.0,1,75013
Appartement à louer,28.2,1183,"Val de Grace, Paris 5ème (75005)",0.0,1.0,3,75005
Appartement à louer,31.0,980,"Auteuil Sud, Paris 16ème (75016)",0.0,1.0,6,75016
Appartement à louer,20.5,950,"Aligre-Gare de Lyon, Paris 12ème (75012)",0.0,1.0,2,75012
